,name,tradingsymbol_nan,instrument_token_nan,LTP_nan,tradingsymbol_MAY,instrument_token_MAY,LTP_MAY,TOP BID_MAY,TOP ASK_MAY,tradingsymbol_JUN,instrument_token_JUN,LTP_JUN,TOP BID_JUN,TOP ASK_JUN,tradingsymbol_JUL,instrument_token_JUL,LTP_JUL,TOP BID_JUL,TOP ASK_JUL,TOP BID_nan,TOP ASK_nan
0,ABB,ABB,3329,5480.0,ABB25MAYFUT,14626818,5468.5,0.0,0.0,ABB25JUNFUT,14537730,5489.5,0.0,0.0,ABB25JULFUT,13624066,5540.0,0.0,0.0,0.0,0.0
1,ABCAPITAL,ABCAPITAL,5533185,195.51,ABCAPITAL25MAYFUT,14627074,196.47,0.0,0.0,ABCAPITAL25JUNFUT,14537986,197.47,0.0,0.0,ABCAPITAL25JULFUT,13624322,199.42,0.0,0.0,0.0,0.0
2,ABFRL,ABFRL,7707649,264.45,ABFRL25MAYFUT,14627330,264.6,0.0,0.0,ABFRL25JUNFUT,14539266,265.3,0.0,0.0,ABFRL25JULFUT,13624578,264.0,0.0,0.0,0.0,0.0
3,ACC,ACC,5633,1935.0,ACC25MAYFUT,14627586,1941.0,0.0,0.0,ACC25JUNFUT,14539522,1943.1,0.0,0.0,ACC25JULFUT,13624834,1957.5,0.0,0.0,0.0,0.0
4,ADANIENSOL,ADANIENSOL,2615553,909.2,ADANIENSOL25MAYFUT,14627842,912.15,0.0,0.0,ADANIENSOL25JUNFUT,14540290,917.15,0.0,0.0,ADANIENSOL25JULFUT,13625090,926.25,0.0,0.0,0.0,0.0
5,ADANIENT,ADANIENT,6401,2346.0,ADANIENT25MAYFUT,14628098,2357.7,0.0,0.0,ADANIENT25JUNFUT,14540546,2369.5,0.0,0.0,ADANIENT25JULFUT,13625346,2399.2,0.0,0.0,0.0,0.0
6,ADANIGREEN,ADANIGREEN,912129,914.95,ADANIGREEN25MAYFUT,14628354,915.0,0.0,0.0,ADANIGREEN25JUNFUT,14540802,919.75,0.0,0.0,ADANIGREEN25JULFUT,13625602,922.2,0.0,0.0,0.0,0.0
7,ADANIPORTS,ADANIPORTS,3861249,1189.5,ADANIPORTS25MAYFUT,14628610,1191.9,0.0,0.0,ADANIPORTS25JUNFUT,14541058,1195.9,0.0,0.0,ADANIPORTS25JULFUT,13625858,1207.4,0.0,0.0,0.0,0.0
8,ALKEM,ALKEM,2995969,5040.0,ALKEM25MAYFUT,14628866,4970.6,0.0,0.0,ALKEM25JUNFUT,14542338,4986.0,0.0,0.0,ALKEM25JULFUT,13626114,5000.0,0.0,0.0,0.0,0.0
9,AMBUJACEM,AMBUJACEM,325121,548.0,AMBUJACEM25MAYFUT,14629122,549.25,0.0,0.0,AMBUJACEM25JUNFUT,14542594,551.15,0.0,0.0,AMBUJACEM25JULFUT,13628162,554.8,0.0,0.0,0.0,0.0
10,APLAPOLLO,APLAPOLLO,6599681,1600.0,APLAPOLLO25MAYFUT,14629634,1612.1,0.0,0.0,APLAPOLLO25JUNFUT,14543106,1624.3,0.0,0.0,APLAPOLLO25JULFUT,13629442,0.0,0.0,0.0,0.0,0.0
11,APOLLOHOSP,APOLLOHOSP,40193,6932.0,APOLLOHOSP25MAYFUT,14629890,6980.0,0.0,0.0,APOLLOHOSP25JUNFUT,14543362,7027.5,0.0,0.0,APOLLOHOSP25JULFUT,13629698,7103.5,0.0,0.0,0.0,0.0
12,ASHOKLEY,ASHOKLEY,54273,225.12,ASHOKLEY25MAYFUT,14630402,225.97,0.0,0.0,ASHOKLEY25JUNFUT,14543618,226.13,0.0,0.0,ASHOKLEY25JULFUT,13630466,226.05,0.0,0.0,0.0,0.0
13,ASIANPAINT,ASIANPAINT,60417,2425.7,ASIANPAINT25MAYFUT,14630658,2422.0,0.0,0.0,ASIANPAINT25JUNFUT,14544898,2414.6,0.0,0.0,ASIANPAINT25JULFUT,13630722,2430.1,0.0,0.0,0.0,0.0
14,ASTRAL,ASTRAL,3691009,1344.8,ASTRAL25MAYFUT,14630914,1345.1,0.0,0.0,ASTRAL25JUNFUT,14545154,1354.4,0.0,0.0,ASTRAL25JULFUT,13630978,1370.0,0.0,0.0,0.0,0.0
15,ATGL,ATGL,1552897,604.65,ATGL25MAYFUT,14631170,597.7,0.0,0.0,ATGL25JUNFUT,14545410,595.0,0.0,0.0,ATGL25JULFUT,13631234,600.0,0.0,0.0,0.0,0.0
16,AUBANK,AUBANK,5436929,671.0,AUBANK25MAYFUT,14631426,669.85,0.0,0.0,AUBANK25JUNFUT,14545666,659.05,0.0,0.0,AUBANK25JULFUT,13631490,0.0,0.0,0.0,0.0,0.0
17,AUROPHARMA,AUROPHARMA,70401,1217.1,AUROPHARMA25MAYFUT,14631682,1220.8,0.0,0.0,AUROPHARMA25JUNFUT,14546434,1230.1,0.0,0.0,AUROPHARMA25JULFUT,13631746,1239.0,0.0,0.0,0.0,0.0
18,AXISBANK,AXISBANK,1510401,1165.3,AXISBANK25MAYFUT,14631938,1170.8,0.0,0.0,AXISBANK25JUNFUT,14546690,1177.7,0.0,0.0,AXISBANK25JULFUT,13632002,1184.8,0.0,0.0,0.0,0.0
19,BAJAJ-AUTO,BAJAJ-AUTO,4267265,8010.5,BAJAJ-AUTO25MAYFUT,14632194,8053.5,0.0,0.0,BAJAJ-AUTO25JUNFUT,14547458,8064.0,0.0,0.0,BAJAJ-AUTO25JULFUT,13632258,8112.5,0.0,0.0,0.0,0.0
20,BAJAJFINSV,BAJAJFINSV,4268801,2045.0,BAJAJFINSV25MAYFUT,14632962,2039.0,0.0,0.0,BAJAJFINSV25JUNFUT,14547714,2051.7,0.0,0.0,BAJAJFINSV25JULFUT,13632514,2063.2,0.0,0.0,0.0,0.0
21,BAJFINANCE,BAJFINANCE,81153,9080.5,BAJFINANCE25MAYFUT,14633218,9105.0,0.0,0.0,BAJFINANCE25JUNFUT,14547970,9133.0,0.0,0.0,BAJFINANCE25JULFUT,13632770,9170.0,0.0,0.0,0.0,0.0
22,BANDHANBNK,BANDHANBNK,579329,165.5,BANDHANBNK25MAYFUT,14633730,165.47,0.0,0.0,BANDHANBNK25JUNFUT,14548482,166.25,0.0,0.0,BANDHANBNK25JULFUT,13633282,167.51,0.0,0.0,0.0,0.0
23,BANKBARODA,BANKBARODA,1195009,246.1,BANKBARODA25MAYFUT,14633986,247.01,0.0,0.0,BANKBARODA25JUNFUT,14548738,248.04,0.0,0.0,BANKBARODA25JULFUT,13633538,249.54,0.0,0.0,0.0,0.0
24,BANKINDIA,BANKINDIA,1214721,115.24,BANKINDIA25MAYFUT,14634242,115.92,0.0,0.0,BANKINDIA25JUNFUT,14548994,115.99,0.0,0.0,BANKINDIA25JULFUT,13633794,116.7,0.0,0.0,0.0,0.0
25,BEL,BEL,98049,297.0,BEL25MAYFUT,14634498,298.25,0.0,0.0,BEL25JUNFUT,14549250,300.0,0.0,0.0,BEL25JULFUT,13634050,302.0,0.0,0.0,0.0,0.0
26,BHARATFORG,BHARATFORG,108033,1082.9,BHARATFORG25MAYFUT,14634754,1079.0,0.0,0.0,BHARATFORG25JUNFUT,14549506,1073.0,0.0,0.0,BHARATFORG25JULFUT,13634306,0.0,0.0,0.0,0.0,0.0
27,BHARTIARTL,BHARTIARTL,2714625,1815.0,BHARTIARTL25MAYFUT,14635010,1825.6,0.0,0.0,BHARTIARTL25JUNFUT,14549762,1835.8,0.0,0.0,BHARTIARTL25JULFUT,13634562,1846.1,0.0,0.0,0.0,0.0
28,BHEL,BHEL,112129,220.8,BHEL25MAYFUT,14635266,221.69,0.0,0.0,BHEL25JUNFUT,14550530,222.78,0.0,0.0,BHEL25JULFUT,13634818,224.42,0.0,0.0,0.0,0.0
29,BIOCON,BIOCON,2911489,312.0,BIOCON25MAYFUT,14635522,312.65,0.0,0.0,BIOCON25JUNFUT,14550786,314.45,0.0,0.0,BIOCON25JULFUT,13635074,316.05,0.0,0.0,0.0,0.0
30,BOSCHLTD,BOSCHLTD,558337,28050.0,BOSCHLTD25MAYFUT,14635778,28030.0,0.0,0.0,BOSCHLTD25JUNFUT,14552066,28165.0,0.0,0.0,BOSCHLTD25JULFUT,13635330,28200.0,0.0,0.0,0.0,0.0
31,BPCL,BPCL,134657,295.25,BPCL25MAYFUT,14636034,296.1,0.0,0.0,BPCL25JUNFUT,14552322,298.0,0.0,0.0,BPCL25JULFUT,13635586,0.0,0.0,0.0,0.0,0.0
32,BRITANNIA,BRITANNIA,140033,5414.7,BRITANNIA25MAYFUT,14636290,5436.7,0.0,0.0,BRITANNIA25JUNFUT,14552578,5448.7,0.0,0.0,BRITANNIA25JULFUT,13635842,5500.0,0.0,0.0,0.0,0.0
33,BSE,BSE,5013761,6296.0,BSE25MAYFUT,14636546,6231.0,0.0,0.0,BSE25JUNFUT,14552834,6151.0,0.0,0.0,BSE25JULFUT,13636610,6102.0,0.0,0.0,0.0,0.0
34,CANBK,CANBK,2763265,96.26,CANBK25MAYFUT,14637314,96.34,0.0,0.0,CANBK25JUNFUT,14553602,96.85,0.0,0.0,CANBK25JULFUT,13637890,97.45,0.0,0.0,0.0,0.0
35,CGPOWER,CGPOWER,194561,630.9,CGPOWER25MAYFUT,14638082,634.25,0.0,0.0,CGPOWER25JUNFUT,14554370,638.3,0.0,0.0,CGPOWER25JULFUT,13638658,648.65,0.0,0.0,0.0,0.0
36,CHOLAFIN,CHOLAFIN,175361,1528.6,CHOLAFIN25MAYFUT,14638594,1531.0,0.0,0.0,CHOLAFIN25JUNFUT,14555394,1518.2,0.0,0.0,CHOLAFIN25JULFUT,13639170,1543.9,0.0,0.0,0.0,0.0
37,CIPLA,CIPLA,177665,1525.1,CIPLA25MAYFUT,14638850,1528.8,0.0,0.0,CIPLA25JUNFUT,14555650,1540.6,0.0,0.0,CIPLA25JULFUT,13639426,1553.0,0.0,0.0,0.0,0.0
38,COALINDIA,COALINDIA,5215745,392.65,COALINDIA25MAYFUT,14639106,392.75,0.0,0.0,COALINDIA25JUNFUT,14555906,395.9,0.0,0.0,COALINDIA25JULFUT,13639682,394.35,0.0,0.0,0.0,0.0
39,COFORGE,COFORGE,2955009,7375.0,COFORGE25MAYFUT,14639362,7375.0,0.0,0.0,COFORGE25JUNFUT,14556162,7410.0,0.0,0.0,COFORGE25JULFUT,13639938,7482.0,0.0,0.0,0.0,0.0
40,COLPAL,COLPAL,3876097,2665.0,COLPAL25MAYFUT,14639618,2636.3,0.0,0.0,COLPAL25JUNFUT,14556418,2621.6,0.0,0.0,COLPAL25JULFUT,13640706,2680.3,0.0,0.0,0.0,0.0
41,CONCOR,CONCOR,1215745,675.0,CONCOR25MAYFUT,14639874,680.5,0.0,0.0,CONCOR25JUNFUT,14556674,683.6,0.0,0.0,CONCOR25JULFUT,13641986,688.8,0.0,0.0,0.0,0.0
42,CUMMINSIND,CUMMINSIND,486657,2851.2,CUMMINSIND25MAYFUT,14640386,2863.3,0.0,0.0,CUMMINSIND25JUNFUT,14557186,2877.1,0.0,0.0,CUMMINSIND25JULFUT,13642498,2887.0,0.0,0.0,0.0,0.0
43,DABUR,DABUR,197633,484.4,DABUR25MAYFUT,14640898,485.5,0.0,0.0,DABUR25JUNFUT,14566402,488.9,0.0,0.0,DABUR25JULFUT,13643010,488.15,0.0,0.0,0.0,0.0
44,DIVISLAB,DIVISLAB,2800641,6027.0,DIVISLAB25MAYFUT,14641922,6065.0,0.0,0.0,DIVISLAB25JUNFUT,14567682,6089.0,0.0,0.0,DIVISLAB25JULFUT,13643778,0.0,0.0,0.0,0.0,0.0
45,DIXON,DIXON,5552641,16190.0,DIXON25MAYFUT,14642178,16060.0,0.0,0.0,DIXON25JUNFUT,14567938,15986.0,0.0,0.0,DIXON25JULFUT,13644034,16028.0,0.0,0.0,0.0,0.0
46,DLF,DLF,3771393,652.05,DLF25MAYFUT,14642434,654.5,0.0,0.0,DLF25JUNFUT,14568194,658.3,0.0,0.0,DLF25JULFUT,13644290,660.55,0.0,0.0,0.0,0.0
47,DMART,DMART,5097729,4374.0,DMART25MAYFUT,14642690,4366.2,0.0,0.0,DMART25JUNFUT,14568450,4313.0,0.0,0.0,DMART25JULFUT,13644546,4305.4,0.0,0.0,0.0,0.0
48,DRREDDY,DRREDDY,225537,1172.0,DRREDDY25MAYFUT,14642946,1171.5,0.0,0.0,DRREDDY25JUNFUT,14568706,1166.1,0.0,0.0,DRREDDY25JULFUT,13644802,1162.0,0.0,0.0,0.0,0.0
49,EICHERMOT,EICHERMOT,232961,5560.0,EICHERMOT25MAYFUT,14643714,5563.5,0.0,0.0,EICHERMOT25JUNFUT,14568962,5595.0,0.0,0.0,EICHERMOT25JULFUT,13645058,5615.0,0.0,0.0,0.0,0.0
50,ETERNAL,ETERNAL,1304833,227.71,ETERNAL25MAYFUT,14736386,228.0,0.0,0.0,ETERNAL25JUNFUT,14663170,227.71,0.0,0.0,ETERNAL25JULFUT,13645314,0.0,0.0,0.0,0.0,0.0
51,EXIDEIND,EXIDEIND,173057,370.15,EXIDEIND25MAYFUT,14644226,371.5,0.0,0.0,EXIDEIND25JUNFUT,14569218,373.9,0.0,0.0,EXIDEIND25JULFUT,13645570,374.5,0.0,0.0,0.0,0.0
