Unnamed: 0,name,tradingsymbol_nan,instrument_token_nan,LTP_nan,tradingsymbol_MAY,instrument_token_MAY,LTP_MAY,TOP BID_MAY,TOP ASK_MAY,tradingsymbol_JUN,instrument_token_JUN,LTP_JUN,TOP BID_JUN,TOP ASK_JUN,tradingsymbol_JUL,instrument_token_JUL,LTP_JUL,TOP BID_JUL,TOP ASK_JUL,TOP BID_nan,TOP ASK_nan
0,ABB,ABB,3329,6977.0,ABB25MAYFUT,14626818,7034.35,7027.32,7041.38,ABB25JUNFUT,14537730,7091.69,7084.6,7098.78,ABB25JULFUT,13624066,7149.04,7141.89,7156.19,6970.02,6983.98
1,ABCAPITAL,ABCAPITAL,5533185,391.9,ABCAPITAL25MAYFUT,14627074,395.12,394.72,395.52,ABCAPITAL25JUNFUT,14537986,398.34,397.94,398.74,ABCAPITAL25JULFUT,13624322,401.56,401.16,401.96,391.51,392.29
2,ABFRL,ABFRL,7707649,59.96,ABFRL25MAYFUT,14627330,60.45,60.39,60.51,ABFRL25JUNFUT,14539266,60.95,60.89,61.01,ABFRL25JULFUT,13624578,61.44,61.38,61.5,59.9,60.02
3,ACC,ACC,5633,1335.5,ACC25MAYFUT,14627586,1346.48,1345.13,1347.83,ACC25JUNFUT,14539522,1357.45,1356.09,1358.81,ACC25JULFUT,13624834,1368.43,1367.06,1369.8,1334.16,1336.84
4,ADANIENSOL,ADANIENSOL,2615553,1506.0,ADANIENSOL25MAYFUT,14627842,1518.38,1516.86,1519.9,ADANIENSOL25JUNFUT,14540290,1530.76,1529.23,1532.29,ADANIENSOL25JULFUT,13625090,1543.13,1541.59,1544.67,1504.49,1507.51
5,ADANIENT,ADANIENT,6401,3040.3,ADANIENT25MAYFUT,14628098,3065.29,3062.22,3068.36,ADANIENT25JUNFUT,14540546,3090.28,3087.19,3093.37,ADANIENT25JULFUT,13625346,3115.27,3112.15,3118.39,3037.26,3043.34
6,ADANIGREEN,ADANIGREEN,912129,1525.9,ADANIGREEN25MAYFUT,14628354,1538.44,1536.9,1539.98,ADANIGREEN25JUNFUT,14540802,1550.98,1549.43,1552.53,ADANIGREEN25JULFUT,13625602,1563.52,1561.96,1565.08,1524.37,1527.43
7,ADANIPORTS,ADANIPORTS,3861249,1795.0,ADANIPORTS25MAYFUT,14628610,1809.75,1807.94,1811.56,ADANIPORTS25JUNFUT,14541058,1824.51,1822.69,1826.33,ADANIPORTS25JULFUT,13625858,1839.26,1837.42,1841.1,1793.2,1796.79
8,ALKEM,ALKEM,2995969,5425.0,ALKEM25MAYFUT,14628866,5469.59,5464.12,5475.06,ALKEM25JUNFUT,14542338,5514.18,5508.67,5519.69,ALKEM25JULFUT,13626114,5558.77,5553.21,5564.33,5419.57,5430.42
9,AMBUJACEM,AMBUJACEM,325121,424.0,AMBUJACEM25MAYFUT,14629122,427.48,427.05,427.91,AMBUJACEM25JUNFUT,14542594,430.97,430.54,431.4,AMBUJACEM25JULFUT,13628162,434.45,434.02,434.88,423.58,424.42
10,APLAPOLLO,APLAPOLLO,6599681,1799.9,APLAPOLLO25MAYFUT,14629634,1814.69,1812.88,1816.5,APLAPOLLO25JUNFUT,14543106,1829.49,1827.66,1831.32,APLAPOLLO25JULFUT,13629442,1844.28,1842.44,1846.12,1798.1,1801.7
11,APOLLOHOSP,APOLLOHOSP,40193,8585.0,APOLLOHOSP25MAYFUT,14629890,8655.56,8646.9,8664.22,APOLLOHOSP25JUNFUT,14543362,8726.12,8717.39,8734.85,APOLLOHOSP25JULFUT,13629698,8796.68,8787.88,8805.48,8576.42,8593.58
12,ASHOKLEY,ASHOKLEY,54273,161.12,ASHOKLEY25MAYFUT,14630402,162.44,162.28,162.6,ASHOKLEY25JUNFUT,14543618,163.77,163.61,163.93,ASHOKLEY25JULFUT,13630466,165.09,164.92,165.26,160.96,161.28
13,ASIANPAINT,ASIANPAINT,60417,2640.0,ASIANPAINT25MAYFUT,14630658,2661.7,2659.04,2664.36,ASIANPAINT25JUNFUT,14544898,2683.4,2680.72,2686.08,ASIANPAINT25JULFUT,13630722,2705.1,2702.39,2707.81,2637.36,2642.64
14,ASTRAL,ASTRAL,3691009,1490.0,ASTRAL25MAYFUT,14630914,1502.25,1500.75,1503.75,ASTRAL25JUNFUT,14545154,1514.49,1512.98,1516.0,ASTRAL25JULFUT,13630978,1526.74,1525.21,1528.27,1488.51,1491.49
15,ATGL,ATGL,1552897,721.0,ATGL25MAYFUT,14631170,726.93,726.2,727.66,ATGL25JUNFUT,14545410,732.85,732.12,733.58,ATGL25JULFUT,13631234,738.78,738.04,739.52,720.28,721.72
16,AUBANK,AUBANK,5436929,1038.8,AUBANK25MAYFUT,14631426,1047.34,1046.29,1048.39,AUBANK25JUNFUT,14545666,1055.88,1054.82,1056.94,AUBANK25JULFUT,13631490,1064.41,1063.35,1065.47,1037.76,1039.84
17,AUROPHARMA,AUROPHARMA,70401,1554.6,AUROPHARMA25MAYFUT,14631682,1567.38,1565.81,1568.95,AUROPHARMA25JUNFUT,14546434,1580.16,1578.58,1581.74,AUROPHARMA25JULFUT,13631746,1592.93,1591.34,1594.52,1553.05,1556.15
18,AXISBANK,AXISBANK,1510401,1377.2,AXISBANK25MAYFUT,14631938,1388.52,1387.13,1389.91,AXISBANK25JUNFUT,14546690,1399.84,1398.44,1401.24,AXISBANK25JULFUT,13632002,1411.16,1409.75,1412.57,1375.82,1378.58
19,BAJAJ-AUTO,BAJAJ-AUTO,4267265,9850.0,BAJAJ-AUTO25MAYFUT,14632194,9930.96,9921.03,9940.89,BAJAJ-AUTO25JUNFUT,14547458,10011.92,10001.91,10021.93,BAJAJ-AUTO25JULFUT,13632258,10092.88,10082.79,10102.97,9840.15,9859.85
20,BAJAJFINSV,BAJAJFINSV,4268801,1766.9,BAJAJFINSV25MAYFUT,14632962,1781.42,1779.64,1783.2,BAJAJFINSV25JUNFUT,14547714,1795.94,1794.14,1797.74,BAJAJFINSV25JULFUT,13632514,1810.47,1808.66,1812.28,1765.13,1768.67
21,BAJFINANCE,BAJFINANCE,81153,981.4,BAJFINANCE25MAYFUT,14633218,989.47,988.48,990.46,BAJFINANCE25JUNFUT,14547970,997.53,996.53,998.53,BAJFINANCE25JULFUT,13632770,1005.6,1004.59,1006.61,980.42,982.38
22,BANDHANBNK,BANDHANBNK,579329,202.15,BANDHANBNK25MAYFUT,14633730,203.81,203.61,204.01,BANDHANBNK25JUNFUT,14548482,205.47,205.26,205.68,BANDHANBNK25JULFUT,13633282,207.13,206.92,207.34,201.95,202.35
23,BANKBARODA,BANKBARODA,1195009,279.5,BANKBARODA25MAYFUT,14633986,281.8,281.52,282.08,BANKBARODA25JUNFUT,14548738,284.09,283.81,284.37,BANKBARODA25JULFUT,13633538,286.39,286.1,286.68,279.22,279.78
