symbol,listing_date,entry_num,status,entry_date,entry_price,stop_price,exit_date,exit_price,return_pct,days_to_entry,days_held,last_date,last_price
RVNL,2019-04-11,1.0,stop_hit,2019-04-15,23.65,21.28,2019-04-30,21.28,-10.0,4.0,15.0,,
METROPOLIS,2019-04-15,1.0,survived_positive,2019-07-04,247.2,,2020-04-15,314.54,27.24,80.0,286.0,,
POLYCAB,2019-04-16,1.0,stop_hit,2019-05-10,655.15,589.64,2019-05-16,589.64,-10.0,24.0,6.0,,
NEOGEN,2019-05-08,1.0,survived_positive,2019-05-22,283.2,,2020-05-08,435.1,53.64,14.0,352.0,,
INDIAMART,2019-07-04,1.0,stop_hit,2019-07-04,650.97,585.88,2019-08-08,585.88,-10.0,0.0,35.0,,
AFFLE,2019-08-08,1.0,stop_hit,2019-08-08,174.73,157.26,2019-08-19,157.26,-10.0,0.0,11.0,,
SPANDANA,2019-08-19,1.0,stop_hit,2019-08-19,847.8,763.02,2020-03-13,763.02,-10.0,0.0,207.0,,
SWSOLAR,2019-08-20,1.0,stop_hit,2019-08-27,639.8,575.82,2019-09-03,575.82,-10.0,7.0,7.0,,
IRCTC,2019-10-14,1.0,survived_positive,2019-10-14,145.55,,2020-10-14,267.61,83.86,0.0,366.0,,
VISHWARAJ,2019-10-15,1.0,stop_hit,2019-11-04,12.89,11.6,2020-03-04,11.6,-10.0,20.0,121.0,,
CSBBANK,2019-12-04,1.0,stop_hit,2019-12-04,300.05,270.04,2019-12-06,270.04,-10.0,0.0,2.0,,
UJJIVANSFB,2019-12-12,1.0,stop_hit,2019-12-12,55.95,50.36,2020-01-17,50.36,-10.0,0.0,36.0,,
PRINCEPIPE,2019-12-30,1.0,stop_hit,2019-12-30,166.9,150.21,2020-01-06,150.21,-10.0,0.0,7.0,,
SBICARD,2020-03-16,1.0,stop_hit,2020-03-16,681.4,613.26,2020-03-23,613.26,-10.0,0.0,7.0,,
ROSSARI,2020-07-23,1.0,stop_hit,2020-07-23,741.65,667.49,2020-07-31,667.49,-10.0,0.0,8.0,,
YESBANK,2020-07-27,1.0,survived_positive,2020-07-29,11.7,,2021-07-27,13.05,11.54,2.0,363.0,,
HAPPSTMNDS,2020-09-17,1.0,stop_hit,2020-09-17,370.95,333.86,2020-09-21,333.86,-10.0,0.0,4.0,,
ROUTE,2020-09-21,1.0,survived_positive,2020-09-21,651.3,,2021-09-21,1949.65,199.35,0.0,365.0,,
CHEMCON,2020-10-01,1.0,stop_hit,2020-10-01,584.8,526.32,2020-10-05,526.32,-10.0,0.0,4.0,,
CAMS,2020-10-01,1.0,survived_positive,2020-11-20,277.77,,2021-10-01,597.12,114.97,50.0,315.0,,
ANGELONE,2020-10-05,1.0,stop_hit,2020-10-05,27.58,24.82,2020-10-16,24.82,-10.0,0.0,11.0,,
UTIAMC,2020-10-12,1.0,survived_positive,2020-11-23,522.25,,2021-10-12,1082.45,107.27,42.0,323.0,,
MAZDOCK,2020-10-12,1.0,survived_positive,2020-10-12,85.97,,2021-10-12,134.73,56.7,0.0,365.0,,
LIKHITHA,2020-10-15,1.0,survived_positive,2020-10-16,68.45,,2021-10-18,187.88,174.47,1.0,367.0,,
EQUITASBNK,2020-11-02,1.0,survived_positive,2020-11-02,32.8,,2021-11-02,62.75,91.31,0.0,365.0,,
GLAND,2020-11-20,1.0,survived_positive,2020-11-23,2089.05,,2021-11-22,3540.45,69.48,3.0,364.0,,
RBA,2020-12-14,1.0,survived_positive,2020-12-14,135.0,,2021-12-14,156.0,15.56,0.0,365.0,,
BECTORFOOD,2020-12-24,1.0,stop_hit,2020-12-24,118.84,106.96,2020-12-29,106.96,-10.0,0.0,5.0,,
AWHCL,2021-01-01,1.0,stop_hit,2021-01-01,407.35,366.62,2021-01-04,366.62,-10.0,0.0,3.0,,
IRFC,2021-01-29,1.0,stop_hit,2021-03-01,25.9,23.31,2021-03-25,23.31,-10.0,31.0,24.0,,
INDIGOPNTS,2021-02-02,1.0,stop_hit,2021-02-02,3117.15,2805.43,2021-02-05,2805.43,-10.0,0.0,3.0,,
HOMEFIRST,2021-02-03,1.0,stop_hit,2021-02-03,527.55,474.79,2021-03-18,474.79,-10.0,0.0,43.0,,
STOVEKRAFT,2021-02-05,1.0,stop_hit,2021-02-08,452.3,407.07,2021-03-19,407.07,-10.0,3.0,39.0,,
NURECA,2021-02-25,1.0,stop_hit,2021-02-25,645.75,581.18,2021-03-09,581.18,-10.0,0.0,12.0,,
RAILTEL,2021-02-26,1.0,stop_hit,2021-02-26,121.35,109.21,2021-04-19,109.21,-10.0,0.0,52.0,,
HERANBA,2021-03-05,1.0,stop_hit,2021-03-05,812.6,731.34,2021-03-09,731.34,-10.0,0.0,4.0,,
MTARTECH,2021-03-15,1.0,stop_hit,2021-03-15,1082.5,974.25,2021-03-17,974.25,-10.0,0.0,2.0,,
EASEMYTRIP,2021-03-19,1.0,stop_hit,2021-03-19,6.51,5.86,2021-03-23,5.86,-10.0,0.0,4.0,,
ANURAS,2021-03-24,1.0,survived_positive,2021-04-05,540.95,,2022-03-24,864.45,59.8,12.0,353.0,,
LXCHEM,2021-03-25,1.0,survived_positive,2021-03-25,164.45,,2022-03-25,409.15,148.8,0.0,365.0,,
CRAFTSMAN,2021-03-25,1.0,stop_hit,2021-03-25,1435.6,1292.04,2021-04-20,1292.04,-10.0,0.0,26.0,,
SURYODAY,2021-03-26,1.0,stop_hit,2021-03-26,277.8,250.02,2021-04-12,250.02,-10.0,0.0,17.0,,
KALYANKJIL,2021-03-26,1.0,stop_hit,2021-03-26,75.2,67.68,2021-03-31,67.68,-10.0,0.0,5.0,,
NAZARA,2021-03-30,1.0,stop_hit,2021-03-30,199.0,179.1,2021-03-31,179.1,-10.0,0.0,1.0,,
BARBEQUE,2021-04-07,1.0,survived_positive,2021-04-07,587.8,,2022-04-07,1190.95,102.61,0.0,365.0,,
LODHA,2021-04-19,1.0,survived_positive,2021-04-19,232.62,,2022-04-19,521.08,124.0,0.0,365.0,,
SHYAMMETL,2021-06-24,1.0,stop_hit,2021-07-06,390.85,351.77,2021-10-22,351.77,-10.0,12.0,108.0,,
SONACOMS,2021-06-24,1.0,survived_positive,2021-06-24,361.2,,2022-06-24,580.05,60.59,0.0,365.0,,
KIMS,2021-06-28,1.0,survived_positive,2021-06-28,199.39,,2022-06-28,231.05,15.88,0.0,365.0,,
DODLA,2021-06-28,1.0,stop_hit,2021-06-28,609.9,548.91,2021-08-23,548.91,-10.0,0.0,56.0,,
IPL,2021-07-05,1.0,stop_hit,2021-07-22,353.85,318.47,2021-08-10,318.47,-10.0,17.0,19.0,,
CLEAN,2021-07-19,1.0,stop_hit,2021-07-19,1585.25,1426.73,2021-08-26,1426.73,-10.0,0.0,38.0,,
GRINFRA,2021-07-19,1.0,stop_hit,2021-07-19,1747.1,1572.39,2021-08-09,1572.39,-10.0,0.0,21.0,,
ZOMATO,2021-07-23,1.0,stop_hit,2021-07-23,126.0,113.4,2022-01-21,113.4,-10.0,0.0,182.0,,
TATVA,2021-07-29,1.0,stop_hit,2021-07-29,2312.2,2080.98,2021-08-09,2080.98,-10.0,0.0,11.0,,
